style,college
background-color: #f79728; color: white; border-bottom: 4px solid #002a5b;,UT Martin Skyhawks
background-color: #A50000; border-bottom: solid 4px #999999;,Bradley
background-color: #004477; border-bottom: solid 4px #999999;,Drake
background-color: #52237F; border-bottom: 4px solid #F36F21;,Evansville
background-color: #CE1126; border-bottom: 4px solid #F9DD16;,Illinois State
background-color: #0142BC; border-bottom: 4px solid #0142BC;,Indiana State
background-color: #922247; border-bottom: 4px solid #febd18;,Loyola
background-color: #5E0009; border-bottom: 4px solid #000000;,Missouri State
background-color: #4B116F; border-bottom: 4px solid #FFCC00;,Northern Iowa
background-color: #720000; border-bottom: 4px solid #000000;,Southern Illinois
background-color: #381E0E; border-bottom: 4px solid #FFCC00;,Valparaiso
background-color: #cc0033; border-bottom: 4px solid #003366; color: white;,Arizona
background-color: #8c1d40; color: #fff; border-bottom: 4px solid #ffc627;,Arizona State
background-color: #003262; color: #fdb515; border-bottom: 4px solid #fdb515;,California
background-color:#cfb87c; color: #000; border-bottom: 4px solid #000;,Colorado
background-color: #154733; color: white; border-bottom: 4px solid #fee123;,Oregon
background-color: #dc4405; color: white; border-bottom: 4px solid #000;,Oregon State
background-color: #8C1515; color: white; border-bottom: 4px solid #4D4F53;,Stanford
background-color: #2d68c4; color: white; border-bottom: 4px solid #f2a900;,UCLA
background-color:#9d2235; border-bottom: 4px solid #ffc72c; color: #ffc72c;,USC
background-color:#cc0000; border-bottom: 4px solid #808080; color: #fff;,Utah
background-color:#4b2e83; border-bottom: 4px solid #b7a57a; color: #fff;,Washington
background-color:#981e32; border-bottom: 4px solid #5e6a71; color: #fff;,Washington State
background-color: #b4975b; color: white; border-bottom: 4px solid #000000;,Bryant Bulldogs
background-color: #00539b; color: white; border-bottom: 4px solid #cfd4d8;,C. C. Blue Devils
background-color: #72293c; color: white; border-bottom: 4px solid #28334a;,F. Dickinson Knights
background-color: #69b3e7; color: white; border-bottom: 4px solid #FFC72C;,Long Island Sharks
background-color: #003768; color: white; border-bottom: 4px solid #fdb813;,Merrimack Warriors
background-color: #84754e; color: white; border-bottom: 4px solid #002855;,St.Mary’s Mountaineers
background-color: #14234b; color: white; border-bottom: 4px solid #a6192e;,Robert Morris Colonials
background-color: #ce1141; color: white; border-bottom: 4px solid #b1b3b6;,Sacred Heart Pioneers
background-color: #005496; color: white; border-bottom: 4px solid #e03a3e;,St.Francis Terriers
background-color: #bd1f25; color: white; border-bottom: 4px solid #000000;,St.Francis Red Flash
background-color: #00483a; color: white; border-bottom: 4px solid #b9bbbd;,Wagner Seahawks
background-color: #00386B; color: white; border-bottom: 4px solid #E0AA0F;,Chattanooga
background-color: #041E42; color: white; border-bottom: 4px solid #FFC72C;,ETSU
background-color: #F76800; color: white; border-bottom: 4px solid #000;,Mercer
background-color: #201547; color: white; border-bottom: 4px solid #582C83;,Furman
background-color: #002649; color: white; border-bottom: 4px solid #c4161d;,Samford
background-color: #3975B7; color: white; border-bottom: 4px solid #1F3A60;,The Citadel
background-color: #0f2044; color: white; border-bottom: 4px solid #ffb71b;,UNC Greensboro
background-color: #A71F23; color: white; border-bottom: 4px solid #ffd520;,VMI
background-color: #592C88; color: white; border-bottom: 4px solid #C1A875;,Western Carolina
background-color: #886E4C; color: white; border-bottom: 4px solid #000;,Wofford
background-color: #4f2170; color: white; border-bottom: 4px solid #c5c6c8;,Abilene Christian Wildcats
background-color: #4f2d7f; color: white; border-bottom: 4px solid #818a8f;,Central Arkansas Bears
background-color: #1c4e9d; color: white; border-bottom: 4px solid #f3652c;,Houston Baptist Huskies
background-color: #cb333b; color: white; border-bottom: 4px solid #000000;,Incarnate Word Cardinals
background-color: #dc0032; color: white; border-bottom: 4px solid #fcb034;,Lamar Cardinals
background-color: #00529b; color: white; border-bottom: 4px solid #ffd204;,McNeese Cowboys
background-color: #005ca6; color: white; border-bottom: 4px solid #a3a9ac;,New Orleans Privateers
background-color: #ae132a; color: white; border-bottom: 4px solid #72808a;,Nicholls Colonels
background-color: #663399; color: white; border-bottom: 4px solid #ff6600;,N.S. Demons
background-color: #fe5100; color: white; border-bottom: 4px solid #ffffff;,S.H.S. Bearkats
background-color: #006341; color: white; border-bottom: 4px solid #eaaa00;,SE Louisiana Lions
background-color: #613393; color: white; border-bottom: 4px solid #ffffff;,Stephen F.A. Lumberjacks
background-color: #0067c5; color: white; border-bottom: 4px solid #007F3E;,Texas A&M-CC Islanders
background-color: #8b2332; border-bottom: 4px solid #8b6f4b;,Denver
background-color: #002F6C; border-bottom: 4px solid #97999B;,Fort Wayne
background-color: #0A5640; border-bottom: 4px solid #FFC72A;,NDSU
background-color: #009A44; border-bottom: 4px solid #aaaead;,North Dakota
background-color: #000; border-bottom: 4px solid #D71920;,Omaha
background-color: #002f60; border-bottom: 4px solid #a28e2a;,Oral Roberts
background-color: #AD0000; border-bottom: 4px solid #000;,South Dakota
background-color: #0033A0; border-bottom: 4px solid #FFD100;,South Dakota State
background-color: #663399; border-bottom: 4px solid #ffcc00;,Western Illinois
background-color: #222222; border-bottom: 4px solid #FFCC00;,Appalachian State
background-color: #6e2639; border-bottom: 4px solid #A7A9AC;,Arkansas Little-Rock
background-color: #cc092f; border-bottom: 4px solid #000000;,Arkansas State
background-color: #006f71; border-bottom: 4px solid #A27752;,Coastal Carolina
background-color: #011e41; border-bottom: 4px solid #A3AAAE;,Georgia Southern
background-color: #0039a6; border-bottom: 4px solid #C60C30;,Georgia State
background-color: #ce181e; border-bottom: 4px solid #0A0203;,Louisiana
background-color: #800029; border-bottom: 4px solid #BD955A;,Louisiana-Monroe
background-color: #00205b; border-bottom: 4px solid #BF0D3E;,South Alabama
background-color: #0064b1; border-bottom: 4px solid #F58025;,Texas Arlington
background-color: #501214; border-bottom: 4px solid #8d734a;,Texas State
background-color: #8a2432; border-bottom: 4px solid #B3B5B8;,Troy Trojans
background-color: #660000; color: white; border-bottom: 4px solid #fff;,Alabama A&M Bulldogs
background-color: #c99700; color: white; border-bottom: 4px solid #000000;,Alabama State Hornets
background-color: #4b306a; color: white; border-bottom: 4px solid #ce8e00;,Alcorn State Braves
background-color: #eeb310; color: white; border-bottom: 4px solid #E31837;,Arkansas Golden Lions
background-color: #eaa921; color: white; border-bottom: 4px solid #000000;,Grambling Tigers
background-color: #002147; color: white; border-bottom: 4px solid #008ED6;,Jackson State Tigers
background-color: #00703c; color: white; border-bottom: 4px solid #e51937;,Mississippi Delta Devils
background-color: #330066; color: white; border-bottom: 4px solid #ffcc33;,Prairie View Panthers
background-color: #58b6e7; color: white; border-bottom: 4px solid #ffce34;,Southern Jaguars
background-color: #7c183e; color: white; border-bottom: 4px solid #9da6ab;,Texas Southern Tigers
background-color: #002554; border-bottom: 4px solid #A37400;,California Baptist Lancers
background-color: #005daa; border-bottom: 4px solid #ffd200;,CSUB Bakersfield
background-color: #006666; border-bottom: 4px solid #000;,Chicago State
background-color: #522398; border-bottom: 4px solid #000;,Grand Canyon
background-color: #005293; border-bottom: 4px solid #fecb00;,UMKC
background-color: #861f41; border-bottom: 4px solid #000000;,New Mexico State
background-color: #aa0000; border-bottom: 4px solid #333333;,Seattle University
background-color: #ffa300; border-bottom: 4px solid #0c2340;,UTRGV
background-color: #275038; border-bottom: 4px solid #000000;,Utah Valley
background-color: #002255; border-bottom: 4px solid #C5AF7D;,BYU
background-color: #041E42; border-bottom: 4px solid #C8102E;,Gonzaga
background-color: #B62B3A; border-bottom: 4px solid #00447C;,Loyola Marymount
background-color: #E35205; border-bottom: 4px solid #231F20;,Pacific
background-color: #00205C; border-bottom: 4px solid #EE7624;,Pepperdine
background-color: #1E1656; border-bottom: 4px solid #5E6A71;,Portland
background-color: #06315B; border-bottom: 4px solid #D80024;,Saint Mary’s
background-color: #002868; border-bottom: 4px solid #84BCE8;,San Diego
background-color: #00543C; border-bottom: 4px solid #FDBB30;,San Francisco
background-color: #862633; border-bottom: 4px solid #862633;,Santa Clara
background-color: #143d8d; color: white; border-bottom: 4px solid #c41230;,American Eagles
background-color: #d4bf91; color: black; border-bottom: 4px solid #FFD530;,Army Black Knights
background-color: #cc0000; color: white; border-bottom: 4px solid #ffffff;,Boston University Terriers
background-color: #e87722; color: white; border-bottom: 4px solid #003865;,Bucknell
background-color: #821019; color: white; border-bottom: 4px solid #5A646E;,Colgate
background-color: #602d89; color: white; border-bottom: 4px solid #602d89;,Holy Cross
background-color: #98002e; color: white; border-bottom: 4px solid #a8996e;,Lafayette Leopards
background-color: #653600; color: white; border-bottom: 4px solid #994708;,Lehigh Mountain Hawks
background-color: #00694e; color: white; border-bottom: 4px solid #cacac8;,Loyola (MD) Greyhounds
